,sequence,N_A,N_C
21,BDCACACCCABBDABDAACDBCDCDCDACCADDCDDBDBBCDADCDDCBDBADDADBACCCDACDDADACCDCCAADBCCCDDCBBBDACCBBDDCACDC,19,32
22,ADCADBDDBDBABDCBCDBCCCDDAAADDDDDDBACCCAAADACBBBCDCBBADCCDBDDBAAADCBADDCDCBABCCACCDBCBABCDACACBCBBCCD,21,28
23,ACDDADABCDCCCACDDCACADAAADDDCCABDBDABDDDCCDBADCACCDDCACAACDCDDDBAACDACDDACBDCCCBDBDCCDBCCDDDCDBCCCAC,21,34
24,AADCBACADDDCDCBBDCACDCCBCBDDBBCDCDCACACAACDBDCBCBDDAACADABADDCCBCCDDCDBDCADDCADDAACCBAAACACDDABDCBDB,23,30
25,ACABABBBCABABABABBACBBBBCBBBBBBBBDBAADBDBDCDBBDBDDBBCBCABBADDBBABDBABAACACCABBAAADAABBCBBBBBCBCBADCD,24,14
26,ACACAAACACDAABBCBAABDCAABCADCCDDCCDADBBBBDDBBCDCDCBCAACBDDDCCCBDBAABBBDBBDADDDACCDCBCBBDACACABDADCDD,24,26
27,CBACAACDADDDDAACCACADDCACBCBDCBCADADCBCDDAACBACDCBDCACCBDDDABACBADDBCDBCACADDCADABACDCBAADCDDBCCDCDD,25,30
28,BCADCADDDDBADACBBBCCDADDBDBDBDACAAACCABABBCCDDBBBCBDBADAAADACBCBCABBBCCACDACACBCACAACDDBCABACADDDBBD,26,24
29,ACDAABCCCAADCDDCBDBBBCDCCDBCDBCCAACDDCDADCBCBCACACCDDAADDBCBBDBABACDABADDDADADBAABBBDADAAACDCBDCACAC,26,27
30,CDAADDCCACACBADACCCADABAAACDDDCBABDBACADDACDCDCABCDBDCADCCDCBDDCBCCADDBBBBDDAABCDADCBABCCAAACCDACDDD,26,29
31,BADBCACDDBCCACCDBADBCBAADDCAABCDDBBBBACBADDDDBDCCDCAAAACACADABCABDDCBCADBABBAABAAADBDCCBBDBACDDBCACC,27,24
32,ABDDBBBCBBBDDABDCCBDBBBCBABACAABBAADBABACABACABCDABBBCBAAAACCBABCAABCABABBABAABDBBACCDBDBBDBDAABDDBB,29,15
33,CBBCDBAAACBABBABBCCABBDCDBABDBBCBDAABBDCBBCAABCDDBBCDABCDADAABADABCDACDDAAACBBBAADDADAAADCCABBBACCCD,29,20
34,DAABDAAAABDCABBBAADDBABBDCDDABBBBCAAADBBBCCBADADBDCAADBADCBCBBCADABADAABCDBAADCCACCCBCCBDACCABBCBDCD,29,21
35,AABAAACCDBBCCAABBDABCCAADBDDCADBACCDACADCBBCBDDDDAACBDCBDDAADAACDCBABDCBAAACCBCBDDBBDAACADBDCCDACDAC,29,25
36,ADDBDDDCABACBCAAACAAABDCACACCCDBACDBCDACCACAACBDDDADDDACBDDADBACCDDAADCBACCDAABAACBDCBDDAACBBCDBBDCC,29,27
37,BAACDCDACBDACDBDCBDBAAADBAAAADDABCCDACDADCBCCACDBCABBDAABDCBBCCBBDCACAAAABCBCAACDDDABABBDDDDCAAACCAD,31,24
38,AAAACDCBAAABDACBCCDCCBBBBCDCABDADCBBBABADBADCACDAADCADAACBAACDDBCCDBAAADCBADABBDABDABCBBAAADBCADBCBD,32,21
39,DDAAACDBDBDACABACDABADABCCAACCBBAACADBBCABBBCCAAAACDCCBABDAABAAAAABCBDABACAABCBCDDBABCBABDDDDBDBBCDD,33,20
40,ABABADCABACAABCBBDDADABBBACCBDCBBCADABBAAABABCDACBDBCAACADADABACDDDBBBCBAAAAAABBBADCADAABCCDCDCADDCB,34,19
41,ACBDABDDAABDCDBDABACCADDADCBCDBADAAAAADAAAACCACDBDCDAAAACDBDCDDAACACDAACABACAACCCCBDBCDACDACACDBADCB,36,25
42,ADCCDCBCAADCADADDAAACDCACDDADACDADBCCACADCAAAAAAADDBAABDDDCDBCDCDCACCCABCAACACAADDDCACAACDDAAABDACDC,37,28
43,BBABAACAADCBADABAACABBAAAAADCAADBBBCADBADBABDBBADADDABAABBAAADBCDABBDDBACAAACBCDBBDAABABBAACBCCCCCAC,39,16
44,ADAAABCBDDDAACADCDBAAAABDAACCACBBBACBDCAABAAACBBDCDABBBABDCAABBADACABBCAAADCAABADBBBADACBBAABADCAAAB,41,16
45,ACAAACAADABAADACADACDCCADCABAADBCBCCDDDAAADACCABBCCBBAABDCABABDDDCACACAACDBAADAABABDBBAAAAACAAAADDAD,44,20
46,ACDBAABADAADADDACACDAACACDAADACAAAAAADCAADCAACAAAAACAABAADDACCCADAACAADDAACCACCCADDCADCCADDDCDABCDDA,48,24
47,AACCDBBABABBABCCACABACABDABBDBAABAAABAAAAAAAAADBCACAAADDDAACBBBAAABABAADCDBADADACBAACCBBAAAAAAADABDB,49,13
48,AACCBDAAADDAABACBBAAAAAAAADAADDAADBCACAADDCDAADAACBAACCAAACDAAABAADAAAAADBADCACACCBBCCBCDABCAAADAABD,51,18
49,AADCDCAADDCAACCCBDDABAACABBADAADAABADDBAABBAAAAAAACBCAADAACCADDACABCADAAAAADDABCAAAAABAAABACABCADAAC,52,17
